seller_id,avg_review_score,review_count,total_orders
1ca7077d890b907f89be8c954a02686a,2.2,136,115
2eb70248d66e0e3ef83659f71b244378,2.72,208,202
54965bbe3e4f07ae045b90b0b8541f52,2.94,81,78
a49928bcdf77c55c6d6e05e09a9b4ca5,2.95,106,98
972d0f9cf61b499a4812cf0bfa3ad3c4,2.96,84,83
8e6d7754bc7e0f22c96d255ebda59eba,2.98,130,85
2a1348e9addc1af5aaa619b1a3679d6b,3.0,54,52
bbad7e518d7af88a0897397ffdca1979,3.04,84,69
602044f2c16190c2c6e45eb35c2e21cb,3.04,56,50
8444e55c1f13cd5c179851e5ca5ebd00,3.07,109,99
5058e8c1e82653974541e83690655b4a,3.08,76,63
e7d5b006eb624f13074497221eb37807,3.11,63,28
dc8798cbf453b7e0f98745e396cc5616,3.18,51,41
95f83f51203c626648c875dd41874c7f,3.21,67,52
835f0f7810c76831d6c7d24c7a646d4d,3.3,50,44
b2479f944e1b90cf8a5de1bbfde284d6,3.34,130,103
7c67e1448b00f6e969d365cea6b010ab,3.35,1356,982
2a261b5b644fa05f4f2700eb93544f2c,3.37,82,51
88460e8ebdecbfecb5f9601833981930,3.38,301,248
18a349e75d307f4b4cc646a691ed4216,3.39,147,121
897060da8b9a21f655304d50fd935913,3.39,426,317
710e3548e02bc1d2831dfc4f1b5b14d4,3.4,141,136
eed78ac17f7f795a19a709745f00cd4e,3.41,56,22
a7f13822ceb966b076af67121f87b063,3.44,85,75
712e6ed8aa4aa1fa65dab41fed5737e4,3.45,86,79
82e0a475a88cc9595229d8029273f045,3.46,80,42
f46490624488d3ff7ce78613913a7711,3.46,91,83
99a54764c341d5dc80b4a8fac4eba3fb,3.47,66,45
0b35c634521043bf4b47e21547b99ab5,3.49,77,51
6fd52c528dcb38be2eea044946b811f8,3.5,82,67
7040e82f899a04d1b434b795a43b4617,3.53,225,212
81f89e42267213cb94da7ddc301651da,3.54,52,46
cac4c8e7b1ca6252d8f20b2fc1a2e4af,3.55,82,75
6973a06f484aacf400ece213dbf3d946,3.55,114,95
7a241947449cc45dbfda4f9d0798d9d0,3.58,71,62
1835b56ce799e6a4dc4eddc053f04066,3.59,552,423
609e1a9a6c2539919b8205cf7c4e6ff0,3.6,122,87
b17b679f4f5ce2e03ce6968c62648246,3.61,57,55
5343d0649eca2a983820bfe93fc4d17e,3.61,109,71
751bdc4d83a466c7206cd42e8f426b03,3.62,69,54
d20b021d3efdf267a402c402a48ea64b,3.64,105,90
36a968b544695394e4e9d7572688598f,3.64,162,154
229c3efbfb0ea2058de4ccdfbc3d784a,3.64,146,121
23613d49c3ac2bd302259e55c06c050c,3.66,79,70
f84a00e60c73a49e7e851c9bdca3a5bb,3.67,99,90
cd06602b43d8800bd0afad514919d35c,3.68,53,44
165fc07beebdcb6190fba8a06db2a449,3.69,64,50
891071be6ba827b591264c90c2ae8a63,3.7,98,92
d2374cbcbb3ca4ab1086534108cc3ab7,3.7,623,524
3c7c4a49ec3c6550809089c6a2ca9370,3.71,160,141
0bf0150d5b9d60d9cd2906003332f085,3.71,59,39
855668e0971d4dfd7bef1b6a4133b41b,3.72,322,312
ca3bd7cd9f149df75950150d010fe4a2,3.72,138,71
c33847515fa6305ce6feb1e818569f13,3.72,128,114
6f892e20a171e98efe17fdb971ff319b,3.73,52,44
e8b3a3a38279a82f0e5d006d5e5b7d2c,3.73,92,87
25c5c91f63607446a97b143d2d535d31,3.73,268,158
4a3ccda38b2129705f3fb522db62ca31,3.73,78,66
ea566164622c6b439516ab18062c42cd,3.75,52,50
44073f8b7e41514de3b7815dd0237f4f,3.76,152,144
4c2b230173bb36f9b240f2b8ac11786e,3.76,342,261
48162d548f5b1b11b9d29d1e01f75a61,3.76,91,68
dd7ddc04e1b6c2c614352b383efe2d36,3.76,142,122
06579cb253ecd5a3a12a9e6eb6bf8f47,3.76,72,62
b14db04aa7881970e83ffa9426897925,3.76,102,83
5f2684dab12e59f83bef73ae57724e45,3.77,74,68
f457c46070d02cadd8a68551231220dd,3.77,232,199
431af27f296bc6519d890aa5a05fdb11,3.77,124,117
56642bcb79900e777d68e91915cb4267,3.77,56,48
7ad32824caee82087b3e2e5f33b1bf32,3.77,181,151
701938c450705b8ae65fc923b70f35c7,3.77,111,75
903037660cf848a717166eb7a06d616e,3.77,60,45
70a12e78e608ac31179aea7f8422044b,3.77,326,315
688756f717c462a206ad854c5027a64a,3.78,98,83
8a32e327fe2c1b3511609d81aaf9f042,3.78,178,132
b1fc4f64df5a0e8b6913ab38803c57a9,3.78,119,107
dc4a0fc896dc34b0d5bfec8438291c80,3.78,249,231
d05ae8f7a5bd1d2a690a44cd079e4e27,3.79,80,78
213b25e6f54661939f11710a6fddb871,3.79,191,155
d1c281d3ae149232351cd8c8cc885f0d,3.79,238,215
fcb5ace8bcc92f75707dc0f01a27d269,3.79,72,62
11bfa66332777660bd0640ee84d47006,3.8,102,76
5656537e588803a555b8eb41f07a944b,3.8,188,174
dd2bdf855a9172734fbc3744021ae9b9,3.8,107,108
4a3ca9315b744ce9f8e9374361493884,3.81,1962,1806
00fc707aaaad2d31347cf883cd2dfe10,3.82,134,103
f7ccf836d21b2fb1de37564105216cc1,3.82,72,70
75d34ebb1bd0bd7dde40dd507b8169c3,3.82,72,62
7202e2ba20579a9bd1acb29e61fe71f6,3.83,54,53
6039e27294dc75811c0d8a39069f52c0,3.83,75,64
8160255418d5aaa7dbdc9f4c64ebda44,3.83,426,385
23d7c96d4a1160db1c726b248601b25a,3.83,52,53
e62b2d6ac10570a035a30bafcf01d263,3.83,66,62
c3867b4666c7d76867627c2f7fb22e21,3.84,257,245
4c18691b6037662be2df78a765d98ab5,3.84,67,63
cd68562d3f44870c08922d380acae552,3.84,131,125
20cb7c2fde3e5bf10f0bbe7394e1c6a9,3.84,51,32
4992e76a42cb3aad7a7047e0d3d7e729,3.84,74,57
e5a3438891c0bfdb9394643f95273d8e,3.84,252,224
c31eff8334d6b3047ed34bebd4d62c36,3.85,122,122
440dd6ab244315c632130ecfb63827b1,3.85,94,94
1900267e848ceeba8fa32d80c1a5f5a8,3.86,521,411
cca3071e3e9bb7d12640c9fbe2301306,3.86,812,712
966cb4760537b1404caedd472cc610a5,3.86,74,75
634964b17796e64304cadf1ad3050fb7,3.86,325,268
8b28d096634035667e8263d57ba3368c,3.86,152,143
f3da5b2ff499efb8d4a6d371d175d7dd,3.87,83,79
318f287a62ab7ac10b703ac37435a231,3.87,62,52
fffd5413c0700ac820c7069d66d98c89,3.87,60,60
1025f0e2d44d7041d6cf58b6550e0bfa,3.87,1416,915
98dac6635aee4995d501a3972e047414,3.88,193,91
04308b1ee57b6625f47df1d56f00eedf,3.88,94,94
09f952a5f58d2285b0372551ae8f9b01,3.88,56,50
0be8ff43f22e456b4e0371b2245e4d01,3.89,180,161
0adac9fbd9a2b63cccaac4f8756c1ca8,3.89,141,110
3b15288545f8928d3e65a8f949a28291,3.89,120,104
ce27a3cc3c8cc1ea79d11e561e9bebb6,3.89,140,135
4e922959ae960d389249c378d1c939f5,3.9,449,420
06e5eefc71ec47ae763c5c6f8db7064f,3.9,93,92
99eaacc9e6046db1c82b163c5f84869f,3.9,70,66
001cca7ae9ae17fb1caed9dfb1094831,3.9,236,200
9e6229250fedbe05838fef417b74e7fb,3.9,78,74
1d8dbc4f32378d715c717c1c1fc57bae,3.9,96,92
2138ccb85b11a4ec1e37afbd1c8eda1f,3.9,428,396
f4aba7c0bca51484c30ab7bdc34bcdd1,3.9,115,110
522620dcb18a6b31cd7bdf73665113a9,3.9,176,174
8e6cc767478edae941d9bd9eb778d77a,3.9,112,106
ef506c96320abeedfb894c34db06f478,3.9,336,324
7ddcbb64b5bc1ef36ca8c151f6ec77df,3.91,340,334
f45122a9ab94eb4f3f8953578bc0c560,3.91,200,187
e9d99831abad74458942f21e16f33f92,3.91,148,130
6d66611d7c44cc30ce351abc49a68421,3.91,174,166
6560211a19b47992c3666cc44a7e94c0,3.91,2014,1854
822166ed1e47908f7cfb49946d03c726,3.92,106,69
b18dc380845b24038cfc48006478f099,3.92,53,44
a673821011d0cec28146ea42f5ab767f,3.92,138,129
2c9e548be18521d1c43cde1c582c6de8,3.92,171,126
92eb0f42c21942b6552362b9b114707d,3.93,362,341
a420f60ff1aa9acc80d0e42959f2b313,3.93,67,67
7d76b645482be4a332374e8223836592,3.93,185,176
beadbee30901a7f61d031b6b686095ad,3.94,68,64
e5a38146df062edaf55c38afa99e42dc,3.94,124,121
1336efc61c316ddf92c899eb817f7cae,3.94,85,74
e9bc59e7b60fc3063eb2290deda4cced,3.94,269,216
1c68394e931a64f90ea236c5ea590300,3.95,171,142
2528513dd95219a6013d4d05176e391a,3.95,164,161
3be634553519fb6536a03e1358e9fdc7,3.95,99,83
3df020b72d3d44b3af9d110fa3940b65,3.95,101,55
aac29b1b99776be73c3049939652091d,3.95,131,98
ea8482cd71df3c1969d7b9473ff13abc,3.95,1196,1146
0dd184061fb0eaa7ca37932c68ab91c5,3.95,192,161
d673a59aac7a70d8b01e6902bf090a11,3.96,84,79
cfb1a033743668a192316f3c6d1d2671,3.96,183,147
062ce95fa2ad4dfaedfc79260130565f,3.97,60,55
391fc6631aebcf3004804e51b40bcf1e,3.97,608,526
