seller_id,late_count,late_rate,avg_delay,total_orders_x,avg_review_score,review_count,total_orders_y,combined_problem_score
75d34ebb1bd0bd7dde40dd507b8169c3,8,11.940298507462686,-16.22,57,3.82,72,62,1.7770149253731344
8b28d096634035667e8263d57ba3368c,19,12.582781456953644,-9.59,139,3.86,152,143,1.7691390728476823
06579cb253ecd5a3a12a9e6eb6bf8f47,7,10.0,-8.38,61,3.76,72,62,1.7400000000000002
a7f13822ceb966b076af67121f87b063,3,3.571428571428571,-16.17,73,3.44,85,75,1.7385714285714287
0d85bbda9889ce1f7e63778d24f346eb,11,18.96551724137931,-9.36,51,4.21,52,51,1.7382758620689656
fffd5413c0700ac820c7069d66d98c89,7,12.068965517241379,-10.63,57,3.87,60,60,1.7334482758620688
c31eff8334d6b3047ed34bebd4d62c36,14,11.570247933884298,-9.51,120,3.85,122,122,1.7285123966942149
7a241947449cc45dbfda4f9d0798d9d0,4,6.0606060606060606,-14.62,56,3.58,71,62,1.723030303030303
318f287a62ab7ac10b703ac37435a231,7,11.475409836065573,-8.81,51,3.87,62,52,1.7037704918032786
70a12e78e608ac31179aea7f8422044b,30,9.287925696594428,-9.78,312,3.77,326,315,1.6943962848297214
f3da5b2ff499efb8d4a6d371d175d7dd,9,10.975609756097562,-7.49,77,3.87,83,79,1.678780487804878
c3867b4666c7d76867627c2f7fb22e21,25,10.37344398340249,-9.22,228,3.84,257,245,1.6786721991701246
4a3ca9315b744ce9f8e9374361493884,189,9.697280656747049,-8.95,1772,3.81,1962,1806,1.6748640328373523
b14db04aa7881970e83ffa9426897925,9,8.571428571428571,-9.79,78,3.76,102,83,1.6685714285714288
4c2b230173bb36f9b240f2b8ac11786e,29,8.454810495626822,-7.91,258,3.76,342,261,1.6627405247813414
23d7c96d4a1160db1c726b248601b25a,5,9.615384615384617,-10.25,50,3.83,52,53,1.6507692307692308
05f51e13da97139648b8125c31e5f51b,9,15.0,-9.17,57,4.1,63,60,1.6500000000000004
99eaacc9e6046db1c82b163c5f84869f,7,10.44776119402985,-8.14,63,3.9,70,66,1.6223880597014926
4a3ccda38b2129705f3fb522db62ca31,5,6.8493150684931505,-10.39,64,3.73,78,66,1.6124657534246576
a673821011d0cec28146ea42f5ab767f,15,10.638297872340425,-8.72,125,3.92,138,129,1.6119148936170213
adbc26658d6c7b4b6219f9d934598091,12,13.043478260869565,-7.63,88,4.05,92,88,1.6021739130434784
59b22a78efb79a4797979612b885db36,15,11.278195488721805,-9.59,125,3.97,132,125,1.59390977443609
634964b17796e64304cadf1ad3050fb7,29,8.978328173374612,-9.62,265,3.86,325,268,1.5889164086687306
a6fe7de3d16f6149ffe280349a8535a0,6,11.76470588235294,-8.78,50,4.0,51,51,1.588235294117647
34056b8b55c1775a22af2331670a799c,9,11.688311688311687,-10.2,77,4.0,78,78,1.5844155844155843
213b25e6f54661939f11710a6fddb871,14,7.368421052631578,-10.33,152,3.79,191,155,1.5784210526315787
3c7c4a49ec3c6550809089c6a2ca9370,9,5.69620253164557,-8.68,139,3.71,160,141,1.5748101265822785
25c5c91f63607446a97b143d2d535d31,16,6.015037593984962,-11.27,156,3.73,268,158,1.5707518796992481
7d13fca15225358621be4086e1eb0964,64,11.208406304728546,-10.29,558,4.0,574,565,1.5604203152364273
e9d99831abad74458942f21e16f33f92,14,9.395973154362416,-9.04,130,3.91,148,130,1.5597986577181207
dc4a0fc896dc34b0d5bfec8438291c80,16,6.6115702479338845,-10.8,225,3.78,249,231,1.5505785123966944
8f2ce03f928b567e3d56181ae20ae952,21,12.209302325581394,-8.99,151,4.06,174,153,1.5504651162790701
4e922959ae960d389249c378d1c939f5,40,8.968609865470851,-12.35,412,3.9,449,420,1.5484304932735427
3df020b72d3d44b3af9d110fa3940b65,10,9.900990099009901,-10.18,55,3.95,101,55,1.5450495049504949
2e90cb1677d35cfe24eef47d441b7c87,16,11.678832116788321,-10.05,127,4.04,137,127,1.543941605839416
d2374cbcbb3ca4ab1086534108cc3ab7,30,4.838709677419355,-14.76,514,3.7,623,524,1.5419354838709676
e9bc59e7b60fc3063eb2290deda4cced,25,9.615384615384617,-13.29,209,3.94,269,216,1.540769230769231
7aa4334be125fcdd2ba64b3180029f14,28,11.814345991561181,-8.85,214,4.05,238,217,1.5407172995780591
50c9975695009e5e6473912e83a6d1da,7,10.294117647058822,-8.05,50,3.99,67,50,1.524705882352941
d1c281d3ae149232351cd8c8cc885f0d,15,6.2761506276150625,-10.85,214,3.79,238,215,1.523807531380753
d05ae8f7a5bd1d2a690a44cd079e4e27,5,6.25,-10.52,77,3.79,80,78,1.5225
f7ccf836d21b2fb1de37564105216cc1,5,6.8493150684931505,-8.33,69,3.82,72,70,1.5224657534246577
522620dcb18a6b31cd7bdf73665113a9,15,8.426966292134832,-13.38,172,3.9,176,174,1.5213483146067417
36a968b544695394e4e9d7572688598f,5,3.205128205128205,-11.69,148,3.64,162,154,1.52025641025641
8a32e327fe2c1b3511609d81aaf9f042,10,5.9171597633136095,-13.57,126,3.78,178,132,1.5158579881656806
f457c46070d02cadd8a68551231220dd,13,5.6521739130434785,-11.67,195,3.77,232,199,1.5126086956521738
1d8dbc4f32378d715c717c1c1fc57bae,8,8.24742268041237,-11.29,91,3.9,96,92,1.5123711340206185
aac29b1b99776be73c3049939652091d,12,9.16030534351145,-11.04,94,3.95,131,98,1.5080152671755722
900ba814c251a692506d7834c1218441,12,13.953488372093023,-7.88,86,4.19,85,88,1.5076744186046507
7d76b645482be4a332374e8223836592,16,8.743169398907105,-8.59,172,3.93,185,176,1.507158469945355
ef506c96320abeedfb894c34db06f478,27,8.132530120481928,-10.52,316,3.9,336,324,1.5066265060240964
5f2684dab12e59f83bef73ae57724e45,4,5.47945205479452,-10.35,67,3.77,74,68,1.503972602739726
04308b1ee57b6625f47df1d56f00eedf,7,7.608695652173914,-10.88,92,3.88,94,94,1.500434782608696
5656537e588803a555b8eb41f07a944b,11,5.9459459459459465,-11.23,171,3.8,188,174,1.4972972972972975
7ddcbb64b5bc1ef36ca8c151f6ec77df,27,8.08383233532934,-9.44,325,3.91,340,334,1.4941916167664668
7e1fb0a3ebfb01ffb3a7dae98bf3238d,21,12.42603550295858,-10.12,155,4.13,172,159,1.4913017751479292
0dd184061fb0eaa7ca37932c68ab91c5,17,8.808290155440414,-10.52,161,3.95,192,161,1.4904145077720206
cfb1a033743668a192316f3c6d1d2671,16,8.938547486033519,-10.86,143,3.96,183,147,1.486927374301676
609e1a9a6c2539919b8205cf7c4e6ff0,2,1.5384615384615385,-16.48,87,3.6,122,87,1.4769230769230768
c33847515fa6305ce6feb1e818569f13,5,3.90625,-14.73,114,3.72,128,114,1.4753124999999998
dd2bdf855a9172734fbc3744021ae9b9,6,5.454545454545454,-22.09,105,3.8,107,108,1.4727272727272729
44073f8b7e41514de3b7815dd0237f4f,7,4.635761589403973,-15.13,142,3.76,152,144,1.471788079470199
1336efc61c316ddf92c899eb817f7cae,7,8.235294117647058,-10.51,74,3.94,85,74,1.4717647058823529
ea8482cd71df3c1969d7b9473ff13abc,100,8.417508417508419,-9.39,1132,3.95,1196,1146,1.4708754208754207
1900267e848ceeba8fa32d80c1a5f5a8,34,6.5009560229445515,-9.4,406,3.86,521,411,1.4650478011472277
1025f0e2d44d7041d6cf58b6550e0bfa,95,6.690140845070422,-10.39,910,3.87,1416,915,1.464507042253521
229c3efbfb0ea2058de4ccdfbc3d784a,3,2.0689655172413794,-11.67,118,3.64,146,121,1.4634482758620688
4c18691b6037662be2df78a765d98ab5,4,5.970149253731343,-10.75,63,3.84,67,63,1.4585074626865673
f7ba60f8c3f99e7ee4042fdef03b70c4,30,13.100436681222707,-8.45,218,4.2,230,219,1.4550218340611352
751bdc4d83a466c7206cd42e8f426b03,1,1.4705882352941175,-11.09,51,3.62,69,54,1.4535294117647057
3b15288545f8928d3e65a8f949a28291,8,6.779661016949152,-11.12,101,3.89,120,104,1.4489830508474575
e8b3a3a38279a82f0e5d006d5e5b7d2c,3,3.5294117647058822,-18.05,80,3.73,92,87,1.4464705882352942
b33e7c55446eabf8fe1a42d037ac7d6d,18,11.842105263157894,-10.6,149,4.15,155,152,1.4421052631578943
4992e76a42cb3aad7a7047e0d3d7e729,4,5.47945205479452,-9.83,56,3.84,74,57,1.4339726027397262
8b321bb669392f5163d04c59e235e066,87,8.656716417910449,-9.3,930,4.0,1014,943,1.4328358208955225
a420f60ff1aa9acc80d0e42959f2b313,5,7.246376811594203,-12.12,67,3.93,67,67,1.43231884057971
391fc6631aebcf3004804e51b40bcf1e,48,7.933884297520661,-11.03,521,3.97,608,526,1.4266942148760329
0be8ff43f22e456b4e0371b2245e4d01,11,6.2857142857142865,-11.11,156,3.89,180,161,1.4242857142857142
e5a38146df062edaf55c38afa99e42dc,9,7.258064516129033,-9.93,120,3.94,124,121,1.4229032258064516
688756f717c462a206ad854c5027a64a,4,4.040404040404041,-6.98,81,3.78,98,83,1.4220202020202022
048c2757535328e0d7dac690ad3c0aae,6,12.0,-9.29,50,4.18,50,51,1.4200000000000004
f45122a9ab94eb4f3f8953578bc0c560,13,6.598984771573605,-9.67,184,3.91,200,187,1.41994923857868
056b4ada5bbc2c50cc7842547dda6b51,7,10.76923076923077,-11.72,64,4.12,65,65,1.4184615384615384
a888faf2d1baececa6baf9c3d603ee1f,5,9.25925925925926,-10.07,53,4.05,55,54,1.4129629629629632
701938c450705b8ae65fc923b70f35c7,4,3.6036036036036037,-11.05,74,3.77,111,75,1.41018018018018
