seller_id,late_count,late_rate,avg_delay,total_orders
3db66a856d18a9cba7c9241fc5221c50,10,10.309278350515463,-11.2,94
50c9975695009e5e6473912e83a6d1da,7,10.294117647058822,-8.05,50
8e6d7754bc7e0f22c96d255ebda59eba,13,10.077519379844961,-5.62,84
06579cb253ecd5a3a12a9e6eb6bf8f47,7,10.0,-8.38,61
42b729f859728f5079499127a9c2ef37,13,9.923664122137405,-6.55,103
3df020b72d3d44b3af9d110fa3940b65,10,9.900990099009901,-10.18,55
527801b552d0077ffd170872eb49683b,9,9.782608695652174,-10.68,90
4a3ca9315b744ce9f8e9374361493884,189,9.697280656747049,-8.95,1772
23d7c96d4a1160db1c726b248601b25a,5,9.615384615384617,-10.25,50
e9bc59e7b60fc3063eb2290deda4cced,25,9.615384615384617,-13.29,209
4e17c65a516f69d023a2ae78b84f28d6,7,9.45945945945946,-20.09,61
f0b47fbbc6dee9aafe415a6e33051b3f,8,9.411764705882353,-12.01,67
e9d99831abad74458942f21e16f33f92,14,9.395973154362416,-9.04,130
165fc07beebdcb6190fba8a06db2a449,6,9.375,-10.35,50
70a12e78e608ac31179aea7f8422044b,30,9.287925696594428,-9.78,312
f84a00e60c73a49e7e851c9bdca3a5bb,9,9.278350515463918,-10.08,88
a888faf2d1baececa6baf9c3d603ee1f,5,9.25925925925926,-10.07,53
aac29b1b99776be73c3049939652091d,12,9.16030534351145,-11.04,94
fa1c13f2614d7b5c4749cbc52fecda94,53,9.153713298791018,-9.61,578
5343d0649eca2a983820bfe93fc4d17e,10,9.090909090909092,-11.89,70
f84fa566034f5e8e880a07ec624c56af,9,9.0,-7.54,89
8648b1e89e9b349e32d3741b30ec737e,9,9.0,-11.24,93
634964b17796e64304cadf1ad3050fb7,29,8.978328173374612,-9.62,265
4e922959ae960d389249c378d1c939f5,40,8.968609865470851,-12.35,412
cfb1a033743668a192316f3c6d1d2671,16,8.938547486033519,-10.86,143
77530e9772f57a62c906e1c21538ab82,34,8.923884514435695,-10.2,312
1835b56ce799e6a4dc4eddc053f04066,49,8.892921960072595,-10.1,417
23613d49c3ac2bd302259e55c06c050c,7,8.860759493670885,-10.64,69
7c67e1448b00f6e969d365cea6b010ab,120,8.856088560885608,-10.83,973
d13e50eaa47b4cbe9eb81465865d8cfc,6,8.823529411764707,-4.16,66
0dd184061fb0eaa7ca37932c68ab91c5,17,8.808290155440414,-10.52,161
7d76b645482be4a332374e8223836592,16,8.743169398907105,-8.59,172
ececbfcff9804a2d6b40f589df8eef2b,9,8.737864077669903,-11.12,97
8b321bb669392f5163d04c59e235e066,87,8.656716417910449,-9.3,930
b14db04aa7881970e83ffa9426897925,9,8.571428571428571,-9.79,78
fe2032dab1a61af8794248c8196565c9,26,8.524590163934425,-10.39,293
5d0363b33554b373851fc1622e4d5f3c,8,8.51063829787234,-8.23,93
4c2b230173bb36f9b240f2b8ac11786e,29,8.454810495626822,-7.91,258
522620dcb18a6b31cd7bdf73665113a9,15,8.426966292134832,-13.38,172
ea8482cd71df3c1969d7b9473ff13abc,100,8.417508417508419,-9.39,1132
a3e9a2c700480d9bb01fba070ba80a0e,12,8.391608391608392,-9.48,129
76d5af76d0271110f9af36c92573f765,13,8.38709677419355,-11.8,128
620c87c171fb2a6dd6e8bb4dec959fc6,65,8.354755784061698,-13.06,722
ce7d1888639e6fb06b2749cbfdac1ff7,7,8.333333333333332,-12.11,78
218d46b86c1881d022bce9c68a7d4b15,35,8.333333333333332,-11.04,382
1d8dbc4f32378d715c717c1c1fc57bae,8,8.24742268041237,-11.29,91
1336efc61c316ddf92c899eb817f7cae,7,8.235294117647058,-10.51,74
17f51e7198701186712e53a39c564617,5,8.19672131147541,-11.59,56
f27e33c6d29b5138fa9967bcd445b6d5,8,8.16326530612245,-9.98,93
ef506c96320abeedfb894c34db06f478,27,8.132530120481928,-10.52,316
7ddcbb64b5bc1ef36ca8c151f6ec77df,27,8.08383233532934,-9.44,325
9c0e69c7bf2619675bbadf47b43f655a,16,8.0,-7.45,151
8581055ce74af1daba164fdbd55a40de,34,7.981220657276995,-8.52,380
